ID,class,nfp,qs_error,aspect_ratio,mean_iota
2047704,QH,6,-2.4004,8.000,2.7
1970577,QH,6,-1.6310,24.000,2.8
2008487,QH,6,-1.2924,12.000,2.6
1969176,QH,6,-1.9853,24.000,3.4
2010135,QH,6,-2.0032,12.000,3.6
2659427,QH,6,-1.3023,5.998,2.6
1969175,QH,6,-1.6418,24.007,3.4
1983464,QH,7,-3.6956,24.000,2.9
1984568,QH,7,-3.6463,24.000,3.7
1985360,QH,7,-3.7380,24.000,4.3
1987091,QH,7,-3.9257,24.000,3.2
1986156,QH,7,-3.6334,24.000,2.7
1983200,QH,7,-3.7296,24.000,2.7
1985616,QH,7,-3.1576,24.000,4.5
1986143,QH,7,-3.2713,24.000,2.7
1980528,QH,7,-3.1492,24.000,4.1
1983033,QH,7,-3.0782,24.000,2.6
1988211,QH,7,-3.1760,24.000,3.8
1986894,QH,7,-3.1242,24.000,3.1
1986368,QH,7,-2.7838,24.000,2.8
1983961,QH,7,-2.6381,24.000,3.3
1987996,QH,7,-3.0587,24.000,3.7
2018003,QH,7,-2.6341,12.000,4.1
1987238,QH,7,-2.8816,24.000,3.3
1983700,QH,7,-2.6419,24.000,3.1
2024496,QH,7,-2.3897,12.000,4.2
2022645,QH,7,-2.4473,12.000,3.2
1981145,QH,7,-2.1508,24.011,2.8
2557281,QH,7,-2.0806,24.000,2.8
2019565,QH,7,-2.3824,12.000,3.3
2021692,QH,7,-2.2445,12.000,2.7
2696682,QH,7,-1.9687,24.000,2.7
1988084,QH,7,-2.0298,24.000,3.8
2021294,QH,7,-1.7172,12.001,2.5
2059165,QH,7,-1.9702,8.000,3.7
2019378,QH,7,-1.5668,12.001,3.2
1981017,QH,7,-1.7328,24.001,2.7
1996625,QH,8,-3.1023,24.000,3.6
1996811,QH,8,-3.1464,24.000,3.7
1996321,QH,8,-3.1092,24.000,3.4
1996973,QH,8,-3.0800,24.000,3.8
1997015,QH,8,-3.1957,24.000,3.8
1996104,QH,8,-3.4147,24.000,3.3
1996833,QH,8,-2.9608,24.000,3.7
1996122,QH,8,-3.0322,24.000,3.3
1994309,QH,8,-2.9042,24.000,4.3
1994178,QH,8,-2.8942,24.000,4.2
1995066,QH,8,-2.5990,24.000,2.7
1996774,QH,8,-2.8199,24.000,3.7
1991944,QH,8,-2.1719,24.000,4.4
1993559,QH,8,-2.3268,24.000,3.7
2562466,QH,8,-2.2119,24.000,3.7
2033774,QH,8,-2.2375,12.003,4.5
2561058,QH,8,-2.1813,24.000,2.6
1991816,QH,8,-2.5535,24.000,4.2
1992228,QH,8,-1.3785,24.008,2.6
2031484,QH,8,-0.8971,12.200,3.2
1994380,QH,8,-2.0165,24.000,4.4
1997062,QH,8,-1.7087,24.000,3.9
2632206,QH,8,-1.0396,8.334,2.6
2596661,QH,8,-1.4471,12.011,2.6
