ID,nfp,symmetry_class,aspect,a,R0,n_coils,nc_per_hp,qs_error,d_min,d_min_over_a,d_min_over_R0,d_min_per_coil_min,d_min_per_coil_max
646306,3,QA,5.0000015256,0.1999999797,1.069991367989035,12,2,-2.8469819829,0.1471728019278175,0.7358640843292921,0.13754578432199624,0.1471728019278175,0.22239740728180768
649055,3,QA,10.0000009303,0.0999999969,1.009791842163928,12,2,-3.063211201,0.20655932546859052,2.065593318719298,0.20455634205357148,0.20655932546859052,0.26672351868701283
657580,3,QA,20.0036636418,0.0499908409,1.001083986578837,18,3,-3.8004557465,0.2842612998325532,5.686267618525961,0.2839534980516514,0.2842612998325532,0.4252597795661616
665963,4,QA,4.0011840006,0.2499710837,0.991225243797347,8,1,-1.2347909721,0.16050806233836343,0.6421065187323641,0.1619289493914249,0.16050806233836343,0.16050806233836368
666449,4,QA,20.0000063951,0.0499999947,1.006246694599635,8,1,-3.1235403596,0.2375331116774646,4.7506627371195425,0.23605852615692238,0.2375331116774646,0.23753311167746474
668330,4,QA,3.3337358669,0.299987925,1.079166428531017,8,1,-1.337705967,0.060184522178473976,0.20062314900999426,0.05576945370733813,0.060184522178473976,0.06018452217847471
671020,4,QA,20.0000002004,0.0499999998,1.010533729690372,16,2,-3.9932677732,0.1639604876979713,3.2792097670762654,0.1622513755658694,0.1639604876979713,0.24668252809783642
674188,4,QA,4.0009348465,0.2499736561,1.007884616959118,16,2,-1.3346003723,0.11321826458985544,0.4529207851589104,0.11233256534011354,0.11321826458985544,0.12949680234777233
674289,4,QA,20.0000089036,0.0499999926,1.004915186986845,16,2,-2.7459074665,0.20573656619125144,4.114731932805355,0.2047302785901122,0.20573656619125144,0.21457827937093396
775499,2,QA,3.9999999887,0.2500000002,1.003498599639718,12,3,-3.4414878345,0.3075207908780122,1.2300831625279822,0.30644864974243125,0.3075207908780122,0.3580228963165255
777649,2,QA,3.3333314313,0.3000000571,0.9783967975844506,12,3,-2.6910318548,0.16261685903912546,0.5420560936257417,0.16620747271516814,0.16261685903912546,0.3744115232347099
777998,2,QA,4.0000023731,0.2499999506,0.9901747762372063,12,3,-2.978021623,0.1778030148812792,0.7112122000606476,0.17956730382181005,0.1778030148812792,0.3492928042752644
793251,3,QA,3.9997861298,0.2500044558,1.065035216734625,6,1,-1.5040353801,0.22240814181535098,0.8896167114448325,0.20882703061899638,0.22240814181535098,0.22240814181535132
803053,3,QA,2.8571576719,0.3499993951,1.07986541466685,12,2,-2.2679233112,0.14837348284626614,0.423924969367086,0.13739997672954546,0.14837348284626614,0.16725017548565732
803097,3,QA,9.9999999722,0.1000000001,1.025757328611459,12,2,-3.6982242236,0.22670804902917058,2.267080488024625,0.2210152856875606,0.22670804902917058,0.29234041709900427
806854,3,QA,2.8591129327,0.3498641102,0.9225130960446817,12,2,-0.5368195217,0.04357613249700884,0.12455159368046788,0.04723632941780833,0.04357613249700884,0.09299400603629839
809322,3,QA,5.000440556,0.1999829375,1.010750297197355,12,2,-2.3086086368,0.20542482163270254,1.027211742165266,0.2032399319617436,0.20542482163270254,0.2780616557692362
810803,3,QA,19.9999950598,0.0500000041,0.9999587721869267,12,2,-3.5949808286,0.09625093417983258,1.9250185257451324,0.09625490255896266,0.09625093417983258,0.30847205964846486
824674,4,QA,4.0010670663,0.2499637965,1.013097771284237,8,1,-1.1478222759,0.14301041469508982,0.5721245104192111,0.14116151347742575,0.14301041469508982,0.14301041469509007
825832,4,QA,20.0000149533,0.0499999513,1.000925918573395,8,1,-2.2240515111,0.28228338417643606,5.645673182414401,0.28202225453285334,0.28228338417643606,0.2822833841764362
828429,4,QA,19.9999997908,0.0500000002,1.011414336262542,16,2,-4.3785469919,0.19180087180075012,3.8360174206709328,0.18963629931280962,0.19180087180075012,0.3859595854930718
877292,2,QA,4.9996066399,0.1999859504,1.002945178601936,4,1,-1.4934345974,0.39396189156200434,1.9699478427060761,0.392805010649905,0.39396189156200434,0.3939618915620045
883330,2,QA,20.0000009216,0.0499999992,0.9981510057445264,8,2,-3.9270046089,0.3435385825260148,6.870771760452644,0.3441749600500252,0.3435385825260148,0.448948916457165
