ID,class,nfp,ok,passed,C,S_phi,boundary_flux_rms,boundary_flux_max,aspect
1887045,QH,4,1,1,0.8467695062149034,0.5809006642724328,0.0037704574685652045,0.013526216859949978,11.9999990599
1675157,QH,4,1,1,0.6057393467650013,0.048837243218562754,0.03235860050395789,0.1254125488254744,6.0001861729
2492423,QH,4,1,1,0.7718728205014606,0.4016591672404668,0.005253730172243813,0.013993898094541973,7.9999447327
1776623,QH,4,1,1,0.8220873947301127,0.5225065831857041,0.014515763869270922,0.04860734023063677,8.001964042
1638462,QH,4,1,1,0.8299570473681365,0.5438504257659487,0.007322738352378059,0.02817170821460632,8.000079283
1952399,QH,4,1,1,0.6955801912892662,0.23715801690468363,0.025659283714687512,0.06743612430212857,5.9997429744
1639488,QH,4,1,1,0.7900746598352119,0.45252648977826726,0.029269158173386246,0.11381121186827634,8.0012005842
1673520,QH,4,1,1,0.8018378158152912,0.4834519945544773,0.008581469035425162,0.04214876948230852,6.0001525475
1959020,QH,4,1,1,0.6587432240600998,0.14472320256509796,0.023203038990309913,0.06811333319838186,5.9998861042
1332197,QH,4,1,0,,,0.05274041193811066,0.1635542957068805,7.9998115018
1673497,QH,4,1,1,0.8088772494024896,0.5034375039740522,0.032522567677090435,0.12665049508177592,6.000138026
1606492,QH,5,1,1,0.6941245672176672,0.22017293951408445,0.006419886376704439,0.014231753397179164,11.9999999672
1750013,QH,5,1,1,0.48106034500715034,-0.10456360771582018,0.03741813307406977,0.2951424244482401,11.9999995636
1750088,QH,5,1,1,0.7437635404745028,0.3340903970237812,0.005583140173838258,0.012451763282548723,11.9999998967
1609168,QH,5,1,0,,,0.041326000134296076,0.21857570036958424,11.9999999848
2497086,QH,5,1,0,,,0.05261237462752742,0.46354915376851746,8.0000001686
1749479,QH,5,1,1,0.47487263933472973,-0.06303261803076021,0.022844876192602764,0.18593902459453696,11.9999984246
1749584,QH,5,1,0,,,0.014923125861582117,0.10696233568018128,11.9999998543
2497905,QH,5,1,1,0.6497512801209896,0.003833672489804707,0.03225653772831902,0.20611813244396032,8.000001075
1606289,QH,5,1,0,,,0.02646169418007042,0.13965906464807065,11.9999999345
2497538,QH,5,1,1,0.7218539692473451,0.28462457473202796,0.0073688573286715,0.02219321037308047,8.000170858
1819794,QH,5,1,0,,,0.12144703192922775,0.9906996766517829,5.9999974117
2532270,QH,5,1,1,0.7935925009587719,0.4528261095790648,0.006514569871086285,0.024299367032663725,6.0002745391
2530913,QH,5,1,1,0.675637615131287,0.18173748666598977,0.010996995263185379,0.04700625463878684,6.0001053416
2532832,QH,5,1,1,0.7003058437945889,0.23895556152205466,0.011397171816767075,0.052963891683968735,6.0000778285
1967104,QH,5,1,0,,,0.07874352637700988,0.36712986908236106,6.0000612929
2534726,QH,5,1,1,0.7975600194782605,0.4670942556789932,0.008425716623938796,0.029800408987452332,6.0001682368
1927017,QH,5,1,1,0.842103207235953,0.5690040954516196,0.006695158273791274,0.01913877713638471,8.0004097177
2657809,QH,5,1,1,0.7948329613554678,0.45516044161771063,0.007948164861208626,0.03714909206147377,6.0003274994
1961367,QH,5,1,1,0.7757905446523721,0.41025105104594917,0.008187579575284928,0.030882205324171706,6.0005973655
2658231,QH,5,1,1,0.6477776137185938,0.12092369212918319,0.022137686400928423,0.14392410989210788,6.0001160581
2499504,QH,5,1,1,0.9236213789395482,0.7798013314456598,0.005144448095929135,0.016110217989341178,7.9987406042
2531914,QH,5,1,1,0.7231497193466857,0.31239889199033977,0.00972903489033691,0.04624801791292328,6.0007105975
2535257,QH,5,1,1,0.813777886167757,0.5039250460327942,0.021603573363945888,0.07450417687654665,6.0014125671
2010184,QH,6,1,0,,,0.09198265385449028,0.5114093224261234,11.9999995443
2004997,QH,6,1,0,,,0.06551876908450599,0.34965491126645737,11.9999998077
2005171,QH,6,1,0,,,0.09354363070253817,0.5782330446432367,11.9999998084
2007090,QH,6,1,0,,,0.09191640371480565,0.5317408076558896,11.9999999861
2044357,QH,6,1,0,,,0.029413565037609002,0.18722888379927918,8.0000006553
2012110,QH,6,1,1,0.7316043137773849,0.3058888757907259,0.007969817666920778,0.015687031202145516,11.9999987573
2012132,QH,6,1,0,,,0.03156591138458817,0.18249147327021303,11.9999996402
2045155,QH,6,1,0,,,0.11789031935340534,0.7493663575528182,8.0000093198
2044336,QH,6,1,0,,,0.0812984920502509,0.6110759868266308,8.0000000614
2012083,QH,6,1,0,,,0.04451540273657003,0.2815264729952898,11.9999951452
2010508,QH,6,1,0,,,0.08406521775550718,0.4498057140884522,11.9999990869
2012084,QH,6,1,0,,,0.031086141447353905,0.2017233328140475,11.9999980582
2006930,QH,6,1,0,,,0.041074881863470074,0.21058531481487927,11.9999992155
2009661,QH,6,1,1,0.5287890098547152,-0.1667682686371117,0.039215389414967626,0.19904840805372126,11.999998563
2009827,QH,6,1,1,0.538202990854922,-0.1754499478380253,0.045948907143645634,0.23462944457335944,11.9999991336
2758415,QH,6,1,1,0.6817645510055896,0.20514620395568484,0.01715455658464355,0.05055492314506741,7.9988724663
2044114,QH,6,1,1,0.5782621835984305,-0.06422007067007163,0.032653713475462316,0.19838187739101712,7.9999692719
2758411,QH,6,1,1,0.6818423537861918,0.20530539818784033,0.017173255690005454,0.05058959387069461,7.998902287
2047634,QH,6,1,1,0.5566828811445739,-0.05729528392760236,0.05240618970235883,0.21671138061322062,8.0038990702
